infinitif;prétérit;participe passé;traduction
"To be";"I was/You were";"been";être
"To have";"I had";"had";avoir
"To make";"I made";"made";"faire (son lit, un gâteau), fabriquer"
"To do";"I did";"done";faire (ses devoirs)
"To go";"I went";"gone";aller
"To get";"I got";"got";"obtenir devenir (vieux, riche)"
"To bet";"I bet";"bet";parier
"To cost";"I cost";"cost";coûter
"To cut";"I cut";"cut";couper
"To hit";"I hit";"hit";frapper
"To hurt";"I hurt";"hurt";blesser, faire mal, avoir mal
"To let";"I let";"let";laisser, permettre, louer un bien
"To put";"I put";"put";mettre
"To read";"I read";"read";lire
"To set (the table)";"I set";"set";mettre (la table)
"To spread";"I spread";"spread";étaler, répandre
"To shut";"I shut";"shut";fermer
"To build";"I built";"built";construire
"To burn";"I burnt";"burnt";brûler
"To lose";"I lost";"lost";perdre
"To sit";"I sat";"sat";s’asseoir
"To lend";"I lent";"lent";prêter
"To send";"I sent";"sent";envoyer
"To spend";"I spent";"spent";"dépenser de l’argent, passer du tps"
"To bleed";"I bled";"bled";saigner
"To deal";"I dealt";"dealt";distribuer, traiter
"To dream";"I dreamt";"dreamt";rêver
"To feed";"I fed";"fed";nourrir
"To feel";"I felt";"felt";se sentir (bien, mal…)
"To keep";"I kept";"kept";garder
"To lead";"I led";"led";mener, diriger
"To leave";"I left";"left";quitter, partir
"To mean";"I meant";"meant";signifier, vouloir dire
"To meet";"I met";"met";rencontrer
"To sleep";"I slept";"slept";dormir
"To sweep";"I swept";"swept";balayer
"To smell";"I smelt";"smelt";sentir, flairer
"To spell";"I spelt";"spelt";épeler, orthographier
"To hear";"I heard";"heard";entendre
"To learn";"I learnt";"learnt";apprendre
"To bring";"I brought";"brought";apporter
"To buy";"I bought";"bought";acheter
"To catch";"I caught";"caught";attraper
"To fight";"I fought";"fought";combattre
"To teach";"I taught";"taught";enseigner
"To think";"I thought";"thought";réfléchir, penser
"To shoot";"I shot";"shot";tirer une balle, tuer par balle, filmer
"To sell";"I sold";"sold";vendre
"To tell";"I told";"told";dire, raconter
"To pay";"I paid";"paid";payer
"To say";"I said";"said";dire
"To find";"I found";"found";trouver
"To stand";"I stood";"stood";être debout
"To understand";"I understood";"understood";comprendre
"To become";"I became";"become";devenir
"To come";"I came";"come";venir
"To overcome";"I overcame";"overcome";vaincre, surmonter
"To begin";"I began";"begun";commencer
"To drink";"I drank";"drunk";boire
"To ring";"I rang";"rung";sonner
"To sing";"I sang";"sung";chanter
"To swim";"I swam";"swum";nager
"To tear";"I tore";"torn";déchirer
"To wear";"I wore";"worn";porter des vêtements, user
"To blow";"I blew";"blown";souffler
"To fly";"I flew";"flown";voler, prendre l’avion
"To grow";"I grew";"grown";cultiver, (faire) pousser, grandir
"To know";"I knew";"known";connaître, savoir
"To throw";"I threw";"thrown";jeter
"To draw";"I drew";"drawn";dessiner
"To break";"I broke";"broken";casser
"To choose";"I chose";"chosen";choisir
"To drive";"I drove";"driven";conduire
"To eat";"I ate";"eaten";manger
"To fall";"I fell";"fallen";tomber
"To forbid";"I forbade";"forbidden";interdire
"To forgive";"I forgave";"forgiven";pardonner
"To give";"I gave";"given";donner
"To hide";"I hid";"hidden";cacher
"To ride";"I rode";"ridden";"monter (à cheval) faire du vélo…"
"To rise";"I rose";"risen";augmenter, s’élever
"To run";"I ran";"run";courir
"To see";"I saw";"seen";Voir
"To speak";"I spoke";"spoken";parler
"To steal";"I stole";"stolen";voler, dérober
"To take";"I took";"taken";prendre
"To wake";"I woke";"woken";se réveiller
"To win";"I won";"won";gagner
"To write";"I wrote";"written";écrire
